"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"16500","Centralia, WA Micropolitan Statistical Area",-122.832656,46.617975,75455,0.000244 
"16540","Chambersburg, PA Micropolitan Statistical Area",-77.656242,39.88274,149618,0.000485 
"16580","Champaign-Urbana, IL Metropolitan Statistical Area",-88.257269,40.143589,231891,0.000751 
"16620","Charleston, WV Metropolitan Statistical Area",-81.72354,38.34945,304284,0.000986 
"16660","Charleston-Mattoon, IL Micropolitan Statistical Area",-88.262114,39.451334,64921,0.00021 
"16700","Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area",-80.042555,32.92502,664607,0.002153 
"16740","Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",-80.833968,35.189623,1758038,0.005694 
"16820","Charlottesville, VA Metropolitan Statistical Area",-78.501532,38.026679,201559,0.000653 
"16860","Chattanooga, TN-GA Metropolitan Statistical Area",-85.248244,35.041153,528143,0.001711 
"16900","Chester, SC Micropolitan Statistical Area",-81.119764,34.702762,33140,0.000107 
"16940","Cheyenne, WY Metropolitan Statistical Area",-104.773195,41.153226,91738,0.000297 
"16980","Chicago-Joliet-Naperville, IL-IN-WI Metropolitan Statistical Area",-87.867975,41.872023,9461105,0.030644 
"17020","Chico, CA Metropolitan Statistical Area",-121.707783,39.669038,220000,0.000713 
"17060","Chillicothe, OH Micropolitan Statistical Area",-83.022097,39.340682,78064,0.000253 
"17140","Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",-84.466734,39.191406,2130151,0.006899 
"17200","Claremont, NH Micropolitan Statistical Area",-72.259307,43.367422,43742,0.000142 
"17220","Clarksburg, WV Micropolitan Statistical Area",-80.326165,39.296751,94196,0.000305 
"17260","Clarksdale, MS Micropolitan Statistical Area",-90.569852,34.222427,26151,0.000085 
"17300","Clarksville, TN-KY Metropolitan Statistical Area",-87.433741,36.634329,273949,0.000887 
"17340","Clearlake, CA Micropolitan Statistical Area",-122.734745,38.973362,64665,0.000209 
"17380","Cleveland, MS Micropolitan Statistical Area",-90.775346,33.77228,34145,0.000111 
"17420","Cleveland, TN Metropolitan Statistical Area",-84.816716,35.16015,115788,0.000375 
"17460","Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",-81.692964,41.443568,2077240,0.006728 
"17500","Clewiston, FL Micropolitan Statistical Area",-81.20258,26.705393,39140,0.000127 
"17540","Clinton, IA Micropolitan Statistical Area",-90.335758,41.852707,49116,0.000159 
"17580","Clovis, NM Micropolitan Statistical Area",-103.215712,34.4201,48376,0.000157 
"17660","Coeur dAlene, ID Metropolitan Statistical Area",-116.832578,47.73713,138494,0.000449 
"17700","Coffeyville, KS Micropolitan Statistical Area",-95.69532,37.139983,35471,0.000115 
"17740","Coldwater, MI Micropolitan Statistical Area",-85.031769,41.929764,45248,0.000147 
"17780","College Station-Bryan, TX Metropolitan Statistical Area",-96.370075,30.642468,228660,0.000741 
"17820","Colorado Springs, CO Metropolitan Statistical Area",-104.7723,38.876197,645613,0.002091 
"17860","Columbia, MO Metropolitan Statistical Area",-92.344062,38.970402,172786,0.00056 
"17900","Columbia, SC Metropolitan Statistical Area",-81.054802,34.041832,767598,0.002486 
"17940","Columbia, TN Micropolitan Statistical Area",-87.045632,35.623,80956,0.000262 
"17980","Columbus, GA-AL Metropolitan Statistical Area",-84.937236,32.493254,294865,0.000955 
"18020","Columbus, IN Metropolitan Statistical Area",-85.902784,39.216785,76794,0.000249 
"18060","Columbus, MS Micropolitan Statistical Area",-88.392678,33.515352,59779,0.000194 
"18100","Columbus, NE Micropolitan Statistical Area",-97.387469,41.469014,32237,0.000104 
"18140","Columbus, OH Metropolitan Statistical Area",-82.941436,40.01385,1836536,0.005948 
"18180","Concord, NH Micropolitan Statistical Area",-71.586367,43.246442,146445,0.000474 
"18220","Connersville, IN Micropolitan Statistical Area",-85.147497,39.640791,24277,0.000079 
"18260","Cookeville, TN Micropolitan Statistical Area",-85.479442,36.220182,106042,0.000343 
"18300","Coos Bay, OR Micropolitan Statistical Area",-124.231236,43.305344,63043,0.000204 
"18340","Corbin, KY Micropolitan Statistical Area",-84.141005,36.809692,35637,0.000115 
"18380","Cordele, GA Micropolitan Statistical Area",-83.777788,31.947963,23439,0.000076 
"18420","Corinth, MS Micropolitan Statistical Area",-88.531064,34.908785,37057,0.00012 
"18460","Cornelia, GA Micropolitan Statistical Area",-83.541609,34.56516,43041,0.000139 
"18500","Corning, NY Micropolitan Statistical Area",-77.320604,42.266288,98990,0.000321 
"18580","Corpus Christi, TX Metropolitan Statistical Area",-97.406075,27.782034,428185,0.001387 
"18620","Corsicana, TX Micropolitan Statistical Area",-96.48862,32.079813,47735,0.000155 
"18660","Cortland, NY Micropolitan Statistical Area",-76.145493,42.59613,49336,0.00016 
"18700","Corvallis, OR Metropolitan Statistical Area",-123.278923,44.571182,85579,0.000277 
"18740","Coshocton, OH Micropolitan Statistical Area",-81.865122,40.290804,36901,0.00012 
"18820","Crawfordsville, IN Micropolitan Statistical Area",-86.900065,40.035111,38124,0.000123 
"18860","Crescent City, CA Micropolitan Statistical Area",-124.163098,41.791232,28610,0.000093 
